Name,playerid,HoF
Willie Upshaw,1013293,
Bill Sample,1011396,
Von Hayes,1005531,
Steve Ontiveros,1009825,
Ron Jackson,1006310,
Bo Diaz,1003261,
Bill Freehan,1004315,
Dick Allen,1000137,
Rudy Law,1007402,
Del Unser,1013286,
Ed Ott,1009900,
Ron Fairly,1003907,
Pat Kelly,1006810,
Jose Cardenal,1001937,
Steve Sax,1011481,
Darryl Strawberry,1012606,
Boog Powell,1010482,
Lamar Johnson,1006481,
Mike Cubbage,1002846,
Brooks Robinson,1011055,
Terry Whitfield,1013899,
Dave Henderson,1005630,
Rance Mulliniks,1009309,
Ron Hodges,1005886,
Lou Brock,1001458,
Denny Walling,1013559,
Rob Wilfong,1013943,
Tim McCarver,1008378,
Joe Torre,1013133,
Willie Davis,1003088,
Dave Revering,1010855,
Bob Stinson,1012544,
Tim Foli,1004202,
Marc Hill,1005828,
Rafael Ramirez,1010673,
Bob Bailey,1000420,
Dave Bergman,1000879,
Johnny Briggs,1001429,
Bob Dernier,1003220,
Bud Harrelson,1005387,
Glenn Borgmann,1001201,
Joe Lefebvre,1007474,
Greg Pryor,1010555,
Bill Stein,1012463,
Jack Brohamer,1001465,
Dale Berra,1000896,
Brett Butler,1001772,
Hubie Brooks,1001472,
Bob Bailor,1000433,
Kiko Garcia,1004502,
Luis Salazar,1011378,
John Wathan,1013666,
Pete O'Brien,1009700,
Barry Foote,1004210,
Dave Stapleton,1012423,
Ralph Garr,1004554,
David Green,1004990,
Jim Dwyer,1003608,
Barry Bonnell,1001171,
Ron Oester,1009739,
Rich Gedman,1004592,
Mike Heath,1005564,
Steve Carlton,1001964,
Dave Rader,1010636,
George Vukovich,1013462,
Keith Moreland,1009161,
Clint Hurdle,1006216,
Leroy Stanton,1012420,
Glenn Wilson,1014081,
Mike Marshall,1008145,
Jerry Martin,1008174,
Willie Montanez,1009062,
Jerry White,1013880,
Craig Kusick,1007219,
Willie Horton,1006038,
Ed Kranepool,1007140,
Merv Rettenmund,1010846,
Mel Hall,1005259,
Mike Anderson,1000237,
Vance Law,1007409,
Aurelio Rodriguez,1011100,
Frank Duffy,1003532,
Tony Scott,1011695,
Alex Trevino,1013180,
Jerry Turner,1013228,
Julio Franco,87,
Bill Melton,1008754,
Paul Blair,1001031,
Mike Vail,1013309,
Jerry Hairston,1005210,
Felix Millan,1008867,
Jim Norris,1009635,
George Wright,1014279,
Mickey Hatcher,1005488,
Terry Crowley,1002829,
Billy Williams,1013975,
Rick Peters,1010237,
Jack Perconte,1010177,
Champ Summers,1012718,
Bobby Brown,1001497,
Tony Phillips,1010300,
Rick Cerone,1002105,
Gary Redus,1010758,
Lenn Sakata,1011375,
Joe Nolan,1009617,
Denny Doyle,1003460,
Tom Poquette,1010443,
Mike Davis,1003070,
Ken Reitz,1010823,
Wally Backman,1000400,
Dave Engle,1003781,
Junior Kennedy,1006845,
Ted Sizemore,1012027,
Duffy Dyer,1003613,
Rico Petrocelli,1010245,
Ron Kittle,1006982,
Frank Taveras,1012852,
Billy Smith,1012097,
Bob Randall,1010689,
Hank Aaron,1000001,
Gary Allenson,1000141,
Mike Tyson,1013258,
Juan Bonilla,1001169,
Rodney Scott,1011693,
Tom Grieve,1005035,
Jim Spencer,1012325,
Tim Flannery,1004138,
Steve Brye,1001610,
Tito Fuentes,1004385,
Pat Tabler,1012806,
Dane Iorg,1006267,
Dave Duncan,1003552,
Dave May,1008292,
Larry Harlow,1005369,
Marty Perez,1010182,
Tim Blackwell,1001022,
Duane Kuiper,1007207,
Miguel Dilone,1003309,
Enzo Hernandez,1005700,
Earl Williams,1013995,
Pepe Mangual,1008058,
Butch Hobson,1005872,
Larry Biittner,1000962,
Bill Almon,1000174,
Johnny Oates,1009674,
Mike Phillips,1010296,
John Ellis,1003750,
Jim Wohlford,1014179,
Roger Metzger,1008812,
Pat Putnam,1010577,
Jerry Dybzinski,1003610,
Ray Fosse,1004243,
Sandy Alomar,1000176,
Alan Bannister,1000515,
Bobby Valentine,1013324,
Al Woods,1014234,
Gary Alexander,1000123,
Jeff Newman,1009543,
Garth Iorg,1006268,
Bobby Darwin,1002995,
Ed Herrmann,1005732,
Thad Bosley,1001214,
George Mitterwald,1009012,
Jose Morales,1009139,
Tommy Davis,1003084,
Fred Kendall,1006828,
Todd Cruz,1002844,
Bruce Boisclair,1001131,
Hosken Powell,1010486,
Rob Andrews,1000260,
Rafael Landestoy,1007292,
Biff Pocoroba,1010403,
Broderick Perkins,1010190,
Fred Stanley,1012411,
Vic Correll,1002639,
Carlos May,1008291,
Ron Washington,1013658,
Charlie Spikes,1012341,
Wilbur Howard,1006091,
Don Kessinger,1006877,
Cesar Tovar,1013142,
Jim Anderson,1000231,
Gene Clines,1002353,
Rick Bosetti,1001211,
Paul Dade,1002920,
Tony Oliva,1009772,
Mickey Stanley,1012415,
Alex Johnson,1006418,
Gary Woods,1014237,
Phil Niekro,1009583,
Steve Swisher,1012795,
Marvell Wynne,1014312,
Jerry Terrell,1012922,
Danny Thompson,1013003,
Jim Mason,1008220,
Paul Householder,1006063,
Larvell Blanks,1001051,
Tom Hutton,1006246,
Pete Mackanin,1007912,
Kurt Bevacqua,1000935,
Mike Lum,1007831,
Wayne Nordhagen,1009626,
Cookie Rojas,1011152,
Darrel Chaney,1002134,
Pete LaCock,1007238,
Mario Guerrero,1005118,
Mike Squires,1012371,
Glenn Hoffman,1005905,
Wayne Tolleson,1013103,
Glenn Adams,1000052,
Jerry Royster,1011270,
Julio Gonzalez,1004838,
Dave Roberts,1011032,
Von Joshua,1006629,
Gary Sutherland,1012739,
Hector Cruz,1002839,
Steve Dillard,1003300,
Mick Kelleher,1006779,
Fernando Gonzalez,1004832,
Dick Davis,1003046,
Joe Simpson,1011996,
Rod Gilbreath,1004700,
Bobby Tolan,1013100,
Pedro Garcia,1004508,
Deron Johnson,1006444,
Alfredo Griffin,1005036,
Larry Milbourne,1008858,
Mario Mendoza,1008760,
Rob Picciolo,1010307,
Dave McKay,1008579,
Scot Thompson,1013025,
Rowland Office,1009741,
Luis Gomez,1004823,
Tom Veryzer,1013418,
Johnnie LeMaster,1007513,
Dan Meyer,1008824,
Pepe Frias,1004346,
Jerry Morales,1009138,
Doug Flynn,1004182,
