1009386,3021,12817,504,1627,1917,110,0.189,0.291,0.287,0.359,0.476,0.365,127,3.4,72
1002748,2517,10594,97,1391,1525,366,0.143,0.307,0.309,0.362,0.452,0.387,138,-3.1,71.1
1011447,2242,9397,342,1138,1331,35,0.187,0.292,0.277,0.362,0.464,0.367,126,-5.4,70.9
1275,2525,10270,311,1354,1332,127,0.168,0.321,0.296,0.334,0.464,0.344,104,-8.1,70.7
1005270,1591,7584,40,1690,736,912,0.088,0.369,0.344,0.455,0.432,0.433,142,85.5,70.3
970,2038,8518,316,1211,1287,118,0.21,0.305,0.281,0.364,0.49,0.368,122,8.7,70.1
1266,2822,12046,569,1663,1835,97,0.226,0.283,0.288,0.371,0.515,0.38,130,-12.1,70
1002015,2283,9019,324,1025,1225,39,0.176,0.262,0.262,0.335,0.439,0.342,116,-9.1,69.4
1011978,2215,9515,307,1507,1827,88,0.201,0.34,0.334,0.38,0.535,0.41,130,-10.4,69.3
1005033,2003,8220,224,1033,864,104,0.158,0.296,0.266,0.371,0.424,0.361,129,-10.2,69.2
455,1970,8030,383,1355,1311,230,0.252,0.332,0.313,0.4,0.565,0.412,140,23.7,69
1005590,2148,8960,183,1291,1539,113,0.179,0.351,0.342,0.41,0.52,0.427,144,-5.1,69
1009014,1884,7371,359,1118,1337,28,0.25,0.297,0.312,0.397,0.562,0.433,157,2.7,68.6
1004101,2477,9853,376,1276,1330,128,0.188,0.28,0.269,0.341,0.457,0.354,117,2.5,68.3
1013846,2363,9967,244,1386,1084,143,0.15,0.29,0.276,0.363,0.426,0.353,118,-2.7,68.1
409,2540,10313,612,1583,1699,19,0.278,0.322,0.276,0.402,0.554,0.406,145,-47.3,67.8
96,2185,8664,434,1204,1289,152,0.231,0.273,0.254,0.337,0.486,0.352,111,-0.1,67.8
335,2175,9057,198,1329,960,379,0.15,0.306,0.295,0.371,0.444,0.36,118,49.5,67.7
1009040,2682,12167,234,1782,1307,504,0.142,0.326,0.306,0.369,0.448,0.361,122,46.6,67.7
1012186,2561,10778,28,1257,793,580,0.066,0.275,0.262,0.337,0.328,0.305,90,55.2,67.6
1008423,2588,9691,521,1229,1555,26,0.245,0.273,0.27,0.374,0.515,0.388,145,-0.4,67.4
210,2299,9774,555,1544,1831,38,0.273,0.338,0.312,0.411,0.585,0.418,153,-31.7,66.8
1002796,2124,8838,170,1233,1424,87,0.166,0.315,0.301,0.39,0.468,0.393,120,-17.5,66.6
1001682,2066,9605,75,1720,952,389,0.108,0.367,0.338,0.415,0.446,0.411,137,-18,66.6
1014396,2847,12249,251,1632,1406,271,0.144,0.303,0.285,0.342,0.43,0.343,113,11.6,66.5
1406,2494,10359,170,1571,980,807,0.131,0.312,0.294,0.385,0.425,0.361,125,100.2,66.3
1008559,1866,7660,583,1167,1414,12,0.325,0.255,0.263,0.394,0.588,0.415,157,-2.5,66.3
1006905,2435,9831,573,1283,1584,19,0.252,0.254,0.256,0.376,0.509,0.389,142,-0.1,66.1
1009517,2685,10227,390,1193,1314,32,0.173,0.245,0.248,0.329,0.421,0.337,111,-6.2,65.7
1086,2049,8678,309,1219,1262,49,0.204,0.335,0.312,0.418,0.515,0.405,147,-20.9,65.6
549,2834,12504,291,1844,1175,414,0.152,0.311,0.281,0.363,0.433,0.352,115,32.3,65.3
1003865,2590,10569,385,1470,1384,78,0.198,0.295,0.272,0.37,0.47,0.375,129,-9,65.1
639,2267,9387,376,1177,1307,116,0.196,0.296,0.282,0.334,0.478,0.348,113,-3.1,65.1
1005166,2436,10232,135,1383,1138,319,0.12,0.341,0.338,0.388,0.459,0.37,132,11.3,65
1012201,1982,8050,314,1123,1092,137,0.202,0.295,0.287,0.366,0.489,0.379,137,-2.5,64.6
1001234,1646,7023,68,861,789,51,0.12,0.303,0.295,0.38,0.415,0.375,122,-12.1,64.5
1153,1995,7980,393,1251,1199,67,0.243,0.324,0.284,0.376,0.527,0.385,132,-13.3,64.2
589,2063,8949,358,1346,1327,308,0.213,0.303,0.283,0.359,0.496,0.365,122,67,64.1
1004893,2287,9822,248,1483,1609,175,0.184,0.318,0.316,0.387,0.5,0.402,127,-1.3,64
860,2371,10400,210,1508,1134,474,0.143,0.321,0.3,0.371,0.443,0.359,118,44.1,63.9
1013157,2267,9376,185,1231,1003,236,0.13,0.298,0.285,0.352,0.415,0.343,111,2.3,63.7
1000898,2120,8364,358,1175,1430,30,0.198,0.262,0.285,0.348,0.482,0.37,124,-1,63.7
893,1908,7745,427,1048,1335,17,0.237,0.314,0.308,0.377,0.545,0.39,140,-21.3,63.6
1012230,2143,8237,407,1259,1333,99,0.244,0.308,0.295,0.38,0.54,0.404,139,3.6,63.5
1007965,2087,8546,83,1112,1176,441,0.135,0.308,0.291,0.364,0.427,0.381,134,33.2,63.4
1000512,2528,10395,512,1305,1636,50,0.225,0.267,0.274,0.33,0.5,0.359,118,-7.1,63.3
1013828,2410,9996,132,1289,1248,205,0.134,0.327,0.317,0.367,0.45,0.384,128,1.8,63.1
1012426,2356,9026,475,1195,1540,17,0.247,0.314,0.282,0.36,0.529,0.387,145,-0.8,62.9
1008675,2135,9409,53,1678,1067,568,0.101,0.29,0.271,0.355,0.372,0.35,108,30,62.7
114,2573,10947,509,1636,1676,253,0.222,0.285,0.292,0.393,0.514,0.391,141,12.8,62.5
1013542,2383,9612,34,1057,1121,201,0.09,0.237,0.268,0.332,0.358,0.333,104,-26.2,62.4
1013133,2206,8802,252,996,1185,23,0.155,0.318,0.297,0.365,0.452,0.364,129,-4,62.3
246,2092,9235,130,1528,781,622,0.124,0.326,0.299,0.372,0.423,0.352,109,65.6,62.2
1010694,2183,9461,54,1239,687,271,0.076,0.293,0.276,0.373,0.351,0.335,109,16.2,62
1000799,2397,10009,201,1151,1106,55,0.127,0.286,0.279,0.341,0.406,0.335,108,-19.6,61.7
1000137,1748,7314,351,1099,1119,133,0.242,0.334,0.292,0.378,0.534,0.4,155,9.3,61.3
1010776,2166,9470,126,1338,885,232,0.108,0.289,0.269,0.366,0.377,0.35,103,30,61.3
1000754,2386,10470,86,1600,1575,315,0.128,0.313,0.308,0.361,0.435,0.376,119,-25,61.2
1003864,2669,10737,414,1344,1354,99,0.183,0.25,0.248,0.361,0.431,0.355,120,-6.7,61.2
1004996,1394,6096,331,1051,1276,58,0.292,0.323,0.313,0.412,0.605,0.453,154,-2.3,61.1
1011411,2154,9282,282,1318,1061,344,0.167,0.304,0.285,0.344,0.452,0.351,115,23.9,60.9
1004874,1566,6536,253,914,975,89,0.197,0.269,0.268,0.357,0.466,0.379,121,-9.3,60.6
1006301,1332,5690,54,873,785,202,0.162,0.351,0.356,0.423,0.517,0.443,165,-10.6,60.5
302,2340,9896,609,1475,1667,234,0.261,0.301,0.273,0.344,0.534,0.37,124,-5.4,60.4
1013975,2486,10519,426,1410,1475,90,0.202,0.287,0.29,0.361,0.492,0.376,132,2.1,60.4
1000453,1575,6660,96,887,987,235,0.135,0.303,0.307,0.363,0.442,0.384,134,0.8,60.1
1004757,1736,7535,27,1163,825,372,0.084,0.293,0.29,0.337,0.374,0.336,110,18.3,60.1
1001944,2476,10770,70,1545,800,738,0.101,0.302,0.285,0.361,0.386,0.357,110,93.3,60
1014127,2961,12358,465,1669,1833,223,0.192,0.296,0.283,0.353,0.475,0.364,128,5.9,59.9
1003091,2624,10768,438,1373,1591,314,0.203,0.288,0.279,0.323,0.482,0.35,117,18.8,59.5
1005706,2063,8553,162,1124,1071,98,0.14,0.322,0.296,0.384,0.436,0.365,131,-5.8,59.4
1010188,2773,10861,379,1272,1652,49,0.184,0.308,0.279,0.341,0.463,0.356,121,-0.7,58.9
945,2342,9926,287,1441,1349,399,0.185,0.34,0.292,0.396,0.477,0.379,130,23.7,58.6
1093,2225,9063,255,1139,1230,11,0.17,0.309,0.295,0.398,0.465,0.377,130,-15.9,57.7
1000335,2189,9736,29,1322,586,234,0.074,0.327,0.308,0.396,0.382,0.362,115,15.8,57.4
1011070,1382,5802,137,947,734,197,0.162,0.31,0.311,0.409,0.474,0.406,135,29.7,57.2
293,2455,10174,493,1349,1550,72,0.225,0.309,0.284,0.377,0.509,0.383,134,-5.9,57.2
1001157,1842,8090,332,1258,1024,460,0.203,0.31,0.268,0.353,0.471,0.368,130,28.9,57.1
1006428,1863,8047,288,1239,1283,96,0.21,0.305,0.296,0.393,0.506,0.411,133,-11.8,57
1012927,1721,7111,154,1120,1078,56,0.165,0.35,0.341,0.393,0.506,0.407,137,7.8,57
854,2060,8271,294,1006,1182,24,0.177,0.281,0.267,0.362,0.444,0.351,113,-13.3,56.8
1011843,2122,9118,56,1296,813,465,0.104,0.282,0.274,0.375,0.378,0.368,121,21.9,56.7
1119,2286,9537,377,1320,1518,94,0.21,0.311,0.29,0.356,0.5,0.367,123,-16.6,56.6
778,2145,9059,449,1328,1496,181,0.235,0.316,0.318,0.379,0.553,0.39,136,-27.7,56.5
1000505,2013,8288,242,982,1039,75,0.155,0.26,0.254,0.352,0.408,0.346,121,-0.3,56.2
1003271,1789,7060,202,930,1209,37,0.173,0.304,0.313,0.382,0.486,0.396,126,-8,56.1
1004158,1483,6414,48,950,756,330,0.132,0,0.313,0.389,0.445,0.399,145,16.4,56
548,1879,7814,366,1146,1234,86,0.243,0.315,0.293,0.406,0.537,0.4,144,-18.6,55.8
1005183,1938,8506,57,1239,642,165,0.096,0.316,0.301,0.394,0.397,0.375,124,28.3,55.8
432,2246,9453,369,1401,1406,37,0.223,0.33,0.316,0.414,0.539,0.405,132,-31.6,55.7
1006747,2123,9594,33,1719,810,495,0.073,0.375,0.341,0.388,0.415,0.383,124,13.3,55.7
1002108,2066,8344,316,977,1139,24,0.184,0.273,0.261,0.354,0.445,0.356,123,-5.8,55.6
1013075,1804,7145,31,774,782,336,0.091,0.297,0.262,0.308,0.353,0.319,96,25.6,55.5
1744,1660,7126,365,1064,1260,36,0.247,0.346,0.321,0.399,0.568,0.407,152,-21.6,55.3
55,2584,10531,354,1412,1439,128,0.196,0.291,0.283,0.367,0.479,0.364,118,-20.6,55.3
1679,1323,5671,217,852,808,129,0.21,0.305,0.287,0.373,0.498,0.376,128,44.7,55.2
1005692,1922,8641,47,1163,839,67,0.103,0.318,0.304,0.367,0.407,0.361,115,9.6,55
1006776,1853,8120,65,1421,1194,443,0.134,0.358,0.317,0.402,0.451,0.405,130,16,54.9
1101,2061,9278,111,1261,695,472,0.096,0.344,0.319,0.361,0.414,0.335,108,72.6,54.9
